"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "HTML", "XML", "Markdown", "comment", "blank", "total"
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\label.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\popover.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\radio-group.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\select.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 12, 96
"d:\KAVACH\trackpatrol_dashboard\src\Components\userProfile.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Contexts\ContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 504, 0, 0, 0, 0, 5, 96, 605
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Admin.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Bandobast.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Dashboard\DetailedMap.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Dashboard\Monitor\hardwarelist.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 1, 4, 36
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Dashboard\Monitor\index.jsx", "JavaScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 1, 5, 139
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Dashboard\Monitor\personnel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Dashboard\index.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 1, 3, 32
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Hardware.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 6, 12, 112
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Logout.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Personnel.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"d:\KAVACH\trackpatrol_dashboard\src\Pages\Setting.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Pages\index.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"d:\KAVACH\trackpatrol_dashboard\src\hooks\useWindowSize.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 7, 4, 31
"d:\KAVACH\trackpatrol_dashboard\src\index.css", "PostCSS", 0, 0, 60, 0, 0, 0, 0, 0, 0, 24, 84
"d:\KAVACH\trackpatrol_dashboard\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 3, 22
"d:\KAVACH\trackpatrol_dashboard\src\lib\superClusterAlgorithms.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\KAVACH\trackpatrol_dashboard\src\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\KAVACH\trackpatrol_dashboard\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\KAVACH\trackpatrol_dashboard\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\KAVACH\trackpatrol_dashboard\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\KAVACH\trackpatrol_dashboard\tailwind.config.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 1, 2, 86
"d:\KAVACH\trackpatrol_dashboard\tsconfig.json", "JSON with Comments", 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10
"Total", "-", 5, 207, 81, 2881, 18703, 19, 15, 38, 161, 415, 22525
